10000	2332	81
10000	2852	52
10001	2903	82
10002	1353	27
10002	2699	24
10004	3676	30
10005	3079	21
10007	1084	6
10007	3095	65
10008	1986	6
10008	2693	34
10009	1586	48
10009	3638	9
10009	3926	63
10011	2720	71
10012	3152	67
10013	3052	8
10016	1829	3
10016	2444	15
10024	1765	81
10024	2491	95
10026	2113	64
10026	3001	52
10027	3118	64
10028	2470	72
10030	2189	79
10031	1717	11
10031	3076	68
10032	2190	19
10032	2649	22
10032	3077	13
10034	3805	31
10036	2777	65
10036	3949	76
10038	1841	35
10039	1544	15
10039	3346	54
10043	1146	81
10044	1074	30
10045	1312	31
10045	2016	19
10046	3177	44
10048	3794	51
10050	1942	33
10052	1266	21
10054	1388	38
10054	2247	39
10054	2259	25
10055	3275	86
10058	1480	83
10060	2797	3
10062	1388	6
10062	1485	16
10062	1694	26
10064	1615	95
10065	2580	24
10066	2385	4
10067	3653	67
10067	3929	17
10068	2770	45
10070	1194	3
10070	1542	66
10073	1099	86
10073	3483	18
10074	3545	23
10078	1390	4
10078	2461	41
10078	2669	53
10078	3565	66
10079	2642	21
10080	1724	92
10081	3369	41
10081	3788	82
10085	1286	62
10086	1109	5
10086	2788	11
10089	2174	31
10089	3347	29
10090	2391	48
10091	2341	75
10092	3902	46
10092	3954	92
10096	1098	70
10096	3610	44
10097	2673	65
10097	3024	78
10099	2608	86
10101	3767	90
10104	1172	75
10104	1317	59
10105	1291	32
10105	2519	30
10107	1662	19
10107	2268	61
10110	2609	50
10112	2594	17
10113	1007	27
10115	2323	89
10115	3007	94
10116	2066	15
10116	2148	79
10116	2496	50
10117	1793	73
10117	2663	25
10118	1962	39
10118	3381	32
10120	3641	88
10122	1222	5
10123	1977	57
10125	1488	10
10126	2650	77
10128	1334	79
10130	3394	66
10132	3998	92
10134	3662	75
10135	3034	47
10136	1340	45
10136	3510	29
10137	2228	12
10141	2657	12
10143	2478	14
10144	1092	31
10144	1666	14
10145	2861	63
10146	2932	35
10150	1426	74
10151	1402	76
10153	2270	44
10162	3554	71
10163	1104	7
10165	2776	60
10167	1681	27
10169	3982	45
10171	2245	46
10171	2595	15
10173	1824	48
10173	2064	80
10175	2748	55
10177	3157	8
10177	3707	37
10177	3879	34
10178	3091	40
10182	3066	59
10184	3358	91
10188	1052	54
10188	1338	68
10189	2136	93
10189	3562	81
10190	3824	47
10192	2182	57
10193	1601	48
10193	1661	20
10193	1817	72
10193	2379	87
10193	3045	24
10194	3163	5
10195	3196	31
10196	1973	34
10196	2113	12
10196	3489	94
10197	3184	26
10201	2326	62
10203	2565	81
10204	2421	13
10205	1477	70
10205	3270	4
10210	2912	77
10212	1723	12
10212	3552	33
10213	2789	41
10215	2504	3
10216	1395	56
10216	1712	95
10217	1039	51
10219	2925	78
10220	2309	33
10221	2998	57
10223	1406	84
10224	2958	41
10226	2799	2
10227	1746	83
10230	1232	86
10231	3307	15
10231	3826	3
10233	3546	79
10233	3550	73
10234	3308	25
10238	3018	78
10240	1830	37
10241	3801	35
10242	3002	89
10243	3642	36
10248	2201	72
10249	2296	25
10250	3979	52
10250	3982	15
10251	1636	29
10252	1846	29
10252	2674	38
10253	3117	88
10254	1282	2
10254	3180	77
10255	3680	50
10257	2040	29
10259	3047	19
10259	3555	43
10261	3420	33
10262	1675	68
10262	3257	35
10262	3918	77
10263	1389	61
10263	2386	52
10265	2032	19
10266	1047	43
10268	1713	16
10269	1651	65
10270	3615	22
10272	1352	76
10272	1953	34
10273	1407	6
10275	1643	92
10275	2371	90
10275	2729	14
10276	2106	91
10277	2454	11
10281	3053	60
10281	3642	19
10284	1927	57
10284	2553	33
10284	3785	89
10285	1841	77
10286	1250	68
10286	3181	7
10287	2320	51
10288	2038	63
10290	1124	24
10291	2630	46
10292	1318	20
10292	1896	93
10292	2667	15
10292	3981	93
10293	1103	44
10295	2684	15
10295	3084	22
10296	1205	37
10296	2410	9
10297	2621	42
10297	3119	67
10298	3170	61
10299	1502	27
10300	1633	46
10301	2482	52
10302	3946	4
10303	1574	58
10309	1193	84
10311	2430	82
10312	2908	32
10315	2894	68
10318	1870	16
10318	1987	83
10319	1586	44
10321	3770	52
10322	1873	78
10322	2042	29
10323	2931	14
10324	1250	5
10324	1375	3
10326	1674	78
10326	1872	74
10326	2994	19
10327	2123	11
10327	2217	60
10328	1231	46
10329	3730	15
10330	3423	50
10331	2147	62
10333	3089	88
10334	3066	90
10335	3662	83
10336	1801	74
10336	3201	81
10338	1372	37
10338	1553	37
10338	3666	49
10339	3999	19
10342	2102	10
10347	2967	17
10350	1743	94
10350	2708	63
10351	3478	13
10352	2290	84
10352	2975	72
10354	3401	19
10356	1577	5
10356	1672	52
10356	1820	86
